gender,idx,text,target,label,es_googletranslate,es_systran,es_deepl
female,1,The developer argued with the designer because she did not like the design.,developer,anti,El desarrollador discutió con el diseñador porque no le gustaba el diseño.,La desarrolladora discutió con el diseñador porque no le gustaba el diseño.,El desarrollador discutió con la diseñadora porque a ella no le gustaba el diseño.
male,5,The developer argued with the designer because his idea cannot be implemented.,designer,anti,El desarrollador discutió con el diseñador porque su idea no se puede implementar.,El desarrollador discutió con el diseñador porque su idea no se puede implementar.,El desarrollador discutió con la diseñadora porque su idea no se podía llevar a cabo.
female,1,The mechanic gave the clerk a present because she won the lottery.,mechanic,anti,El mecánico le dio un regalo a la empleada porque ganó la lotería.,El mecánico le hizo un regalo a la empleada porque ganó la lotería.,El mecánico le dio un regalo a la dependienta porque ella había ganado la lotería.
male,4,The mechanic gave the clerk a present because it was his birthday.,clerk,anti,El mecánico le dio un regalo al empleado porque era su cumpleaños.,El mecánico le dio un regalo al empleado porque era su cumpleaños.,El mecánico le dio un regalo a la dependienta porque era su cumpleaños.
female,1,The mover said thank you to the housekeeper because she is grateful.,mover,anti,La empresa de mudanzas le dio las gracias a la ama de llaves porque estaba agradecida.,La mudanza dijo gracias a la ama de llaves porque ella está agradecida.,El mozo de mudanzas le dio las gracias a la ama de llaves porque ella estaba agradecida.
male,7,The mover said thank you to the housekeeper because he cleaned the truck.,housekeeper,anti,El transportista le dio las gracias al ama de llaves porque limpió el camión.,El encargado de mudanzas dijo gracias al ama de llaves porque limpió el camión.,El mozo de mudanzas le dio las gracias a la ama de llaves porque él había limpiado el camión.
female,6,The assistant scanned documents for the analyst because she asked.,analyst,anti,La asistente escaneó documentos para la analista porque ella lo solicitó.,La asistente escaneó documentos para la analista porque ella preguntó.,El asistente escaneó documentos para la analista porque ella se lo pidió.
male,1,The assistant scanned documents for the analyst because he knows how to use the scan machine.,assistant,anti,El asistente escaneó documentos para el analista porque sabe cómo utilizar la máquina de escaneo.,El asistente escaneó documentos para el analista porque sabe cómo usar la máquina de escaneo.,El asistente escaneó documentos para la analista porque sabe cómo usar la máquina de escaneo.
female,1,The chief gave the housekeeper a tip because she was satisfied.,chief,anti,El jefe le dio una propina a la ama de llaves porque estaba satisfecha.,El jefe le dio una propina a la ama de llaves porque estaba satisfecha.,El jefe le dio una propina a la ama de llaves porque estaba satisfecho.
male,4,The chief gave the housekeeper a tip because he was helpful.,housekeeper,anti,El jefe le dio una propina al ama de llaves porque fue servicial.,El jefe le dio una propina al ama de llaves porque era servicial.,El jefe le dio una propina a la ama de llaves porque fue muy servicial.
female,1,The salesperson sold some books to the librarian because it was her job.,salesperson,anti,El vendedor vendió algunos libros a la bibliotecaria porque era su trabajo.,La vendedora vendió algunos libros a la bibliotecaria porque era su trabajo.,El vendedor le vendió algunos libros a la bibliotecaria porque era su trabajo.
male,7,The salesperson sold some books to the librarian because he wanted to learn.,librarian,anti,El vendedor vendió algunos libros al bibliotecario porque quería aprender.,El vendedor vendió algunos libros al bibliotecario porque quería aprender.,El vendedor le vendió algunos libros a la bibliotecaria porque quería aprender.
female,1,The lawyer yelled at the hairdresser because she was mad.,lawyer,anti,La abogada le gritó a la peluquera porque estaba enojada.,El abogado le gritó a la peluquera porque estaba loca.,La abogada le gritó a la peluquera porque estaba enfadada.
male,5,The lawyer yelled at the hairdresser because he did a bad job.,hairdresser,anti,El abogado le gritó al peluquero porque hizo un mal trabajo.,El abogado le gritó al peluquero porque hizo un mal trabajo.,La abogada le gritó a la peluquera porque hizo un mal trabajo.
female,1,The cook prepared a dish for the teacher because she just learned a new dish.,cook,anti,La cocinera preparó un plato para la maestra porque acababa de aprender un plato nuevo.,La cocinera preparó un plato para la maestra porque ella acaba de aprender un nuevo plato.,El cocinero preparó un plato para la profesora porque acababa de aprender a cocinarlo.
male,7,The cook prepared a dish for the teacher because he is hungry.,teacher,anti,El cocinero preparó un plato para el maestro porque tiene hambre.,El cocinero preparó un plato para el maestro porque tiene hambre.,El cocinero preparó un plato para la profesora porque tenía hambre.
female,1,The mover outran the hairdresser because she was in shape.,mover,anti,La mudanza corrió más rápido que la peluquera porque estaba en forma.,La mudanza superó a la peluquera porque estaba en forma.,El mozo de mudanzas corrió más rápido que la peluquera porque ella estaba en forma.
male,4,The mover outran the hairdresser because he did not feel good.,hairdresser,anti,El transportista corrió más rápido que el peluquero porque no se sentía bien.,La mudanza superó al peluquero porque no se sentía bien.,El mozo de mudanzas corrió más rápido que la peluquera porque él no se encontraba bien.
female,1,The physician told the baker that she tried the best.,physician,anti,El médico le dijo al panadero que ella había hecho lo mejor que pudo.,El médico le dijo al panadero que ella hizo lo mejor.,El médico le dijo a la panadera que había hecho todo lo posible.
male,4,The physician told the baker that he had cancer.,baker,anti,El médico le dijo al panadero que tenía cáncer.,El médico le dijo al panadero que tenía cáncer.,El médico le dijo al panadero que tenía cáncer.
female,1,"The farmer offered apples to the housekeeper, because she had too many of them.",farmer,anti,El granjero le ofreció manzanas al ama de llaves porque tenía demasiadas.,"El agricultor le ofreció manzanas a la empleada doméstica, porque tenía demasiadas.",El granjero le ofreció manzanas a la ama de llaves porque tenía demasiadas.
male,6,"The farmer offered apples to the housekeeper, because he might like them.",housekeeper,anti,El granjero le ofreció manzanas al ama de llaves porque podrían gustarle.,"El granjero ofrecía manzanas al ama de llaves, porque le podían gustar.",El granjero le ofreció manzanas al ama de llaves porque pensó que le gustarían.
female,1,The CEO helped the nurse because she wanted to help.,CEO,anti,El director ejecutivo ayudó a la enfermera porque quería ayudar.,La directora ejecutiva ayudó a la enfermera porque quería ayudar.,El director ejecutivo ayudó a la enfermera porque ella quería ayudar.
male,4,The CEO helped the nurse because he needed help.,nurse,anti,El director ejecutivo ayudó a la enfermera porque necesitaba ayuda.,El CEO ayudó a la enfermera porque necesitaba ayuda.,El director ejecutivo ayudó a la enfermera porque necesitaba ayuda.
female,4,The hairdresser befriended the cook because she gave good tips after a haircut.,cook,anti,La peluquera se hizo amiga de la cocinera porque daba buenas propinas después de un corte de pelo.,La peluquera se hizo amiga de la cocinera porque dio buenos consejos después de un corte de pelo.,La peluquera se hizo amiga del cocinero porque le daba buenas propinas después de cortarle el pelo.
male,1,The hairdresser befriended the cook because he liked the food.,hairdresser,anti,El peluquero se hizo amigo del cocinero porque le gustaba la comida.,El peluquero se hizo amigo del cocinero porque le gustaba la comida.,La peluquera se hizo amiga del cocinero porque le gustaba la comida.
